index,concepts
0,260
1,13895
2,693
3,9231
4,2281
5,12075
6,8686
7,4571
8,11186
9,1511
10,567
11,1523
12,8478
13,4529
14,8498
15,9105
16,10718
17,3865
18,13317
19,1338
20,1596
21,288
22,13104
23,8603
24,3316
25,6969
26,13778
27,1781
28,5457
29,2816
30,1584
31,2109
32,45
33,1197
34,11554
35,6403
36,1505
37,887
38,1474
39,12042
40,3153
41,2156
42,1986
43,5265
44,6553
45,1642
46,3356
47,2518
48,1579
49,3393
50,3162
51,2547
52,14849
53,1850
54,8543
55,957
56,3339
57,6942
58,4053
59,6573
60,2292
61,2258
62,334
63,8708
64,2493
65,480
66,925
67,963
68,1685
69,5978
70,9024
71,5155
72,8518
73,5056
74,525
75,2093
76,282
77,2791
78,8191
79,1149
80,1670
81,1552
82,9621
83,7843
84,9935
85,5404
86,11657
87,9701
88,14309
89,8850
90,1189
91,2739
92,815
93,3843
94,9043
95,11775
96,844
97,5420
98,608
99,14020
100,7823
101,3864
102,6384
103,8370
104,6092
105,1265
106,250
107,11849
108,4274
109,61
110,224
111,6259
112,538
113,1493
114,5341
115,3500
116,1592
117,1728
118,405
119,14502
120,5642
121,3891
122,200
123,281
124,5336
125,148
126,10293
127,6602
128,4397
129,8334
130,3256
131,10585
132,877
133,700
134,3699
135,8775
136,189
137,9137
138,4915
139,1270
140,4197
141,9725
142,14619
143,8257
144,11058
145,10040
146,6461
147,14048
148,10837
149,955
150,12254
151,1652
152,5724
153,9614
154,7432
155,2214
156,11784
157,5473
158,2081
159,147
160,6884
161,5667
162,14808
163,1775
164,3511
165,10313
166,2749
167,3711
168,13197
169,2619
170,1961
171,3451
172,1952
173,1462
174,7585
175,9657
176,11500
177,3277
178,5750
179,3832
180,7442
181,3577
182,3730
183,5448
184,10632
185,5344
186,266
187,2011
188,6685
189,7180
190,9588
191,4246
192,1616
193,1132
194,2543
195,2707
196,182
197,572
198,5170
199,9140
200,6158
201,7593
202,8423
203,2048
204,4730
205,5465
206,4609
207,7835
208,5191
209,10847
210,810
211,1350
212,1371
213,1660
214,2606
215,6450
216,3105
217,9879
218,7320
219,5717
220,6233
221,3343
222,13199
223,5422
224,9611
225,5442
226,2051
227,965
228,3824
229,1277
230,4580
231,1868
232,6934
233,1254
234,2290
235,343
236,1965
237,639
238,6026
239,3302
240,2246
241,262
242,13714
243,4350
244,10152
245,2163
246,6818
247,1444
248,4242
249,5605
250,6216
251,3732
252,10818
253,203
254,8388
255,12474
256,1899
257,69
258,2942
259,2414
260,4776
261,5398
262,5652
263,2138
264,8125
265,1346
266,8098
267,3938
268,6218
269,3469
270,846
271,273
272,14661
273,7742
274,2596
275,1547
276,10077
277,1998
278,8102
279,2840
280,8209
281,788
282,589
283,1352
284,4920
285,5902
286,8428
287,1865
288,7159
289,6854
290,5606
291,1981
292,3557
293,6797
294,927
295,14007
296,4871
297,8512
298,7298
299,1084
300,8617
301,12432
302,98
303,7422
304,4632
305,2261
306,1472
307,13357
308,192
309,115
310,917
311,10420
312,9800
313,8925
314,4371
315,12444
316,108
317,2479
318,3932
319,7160
320,8216
321,1115
322,14179
323,4813
324,1573
325,4453
326,6937
327,3044
328,2164
329,6994
330,10604
331,1345
332,13599
333,4623
334,2753
335,789
336,2234
337,687
338,2862
339,1151
340,12007
341,5867
342,2644
343,11088
344,1601
345,1586
346,5846
347,3218
348,4535
349,8697
350,1234
351,8585
352,6915
353,1087
354,3694
355,10240
356,2104
357,3523
358,6608
359,1001
360,753
361,10628
362,1361
363,5913
364,842
365,2006
366,323
367,905
368,6402
369,7409
370,425
371,5166
372,5292
373,11006
374,113
375,829
376,2446
377,8604
378,4682
379,2826
380,11931
381,1539
382,853
383,1252
384,5529
385,5379
386,5711
387,2295
388,1529
389,798
390,1911
391,10801
392,10502
393,2765
394,879
395,13620
396,4161
397,5598
398,6917
399,7297
400,13188
401,13374
402,1146
403,441
404,10069
405,14872
406,9847
407,9133
408,4618
409,3848
410,890
411,4539
412,1914
413,5599
414,12869
415,6837
416,2380
417,1405
418,566
419,13084
420,594
421,38
422,10022
423,8142
424,1480
425,6799
426,8350
427,3701
428,6936
429,276
430,321
431,217
432,11794
433,4655
434,7495
435,650
436,991
437,527
438,1475
439,9380
440,10223
441,389
442,2491
443,2184
444,9275
445,6451
446,1969
447,7254
448,875
449,10856
450,1100
451,7991
452,11746
453,3923
454,7285
455,3706
456,3364
457,9234
458,2168
459,8386
460,146
461,9503
462,5674
463,3102
464,1933
465,2140
466,8035
467,7881
468,3298
469,2537
470,5759
471,1468
472,1133
473,3095
474,703
475,3049
476,222
477,11852
478,5308
479,4470
480,6824
481,5821
482,3715
483,9082
484,4207
485,4237
486,685
487,3844
488,1130
489,3240
490,1664
491,1657
492,9545
493,8719
494,12953
495,1172
496,10203
497,5075
498,6448
499,29
500,985
501,7658
502,1527
503,2674
504,274
505,5195
506,51
507,659
508,2676
509,4418
510,4602
511,4206
512,1559
513,2695
514,559
515,900
516,4183
517,792
518,5280
519,9528
520,7684
521,409
522,9365
523,4700
524,1740
525,4079
526,7019
527,12837
528,8756
529,4070
530,156
531,11363
532,10809
533,4186
534,4934
535,3082
536,10431
537,13147
538,6819
539,455
540,4168
541,508
542,4562
543,13793
544,7346
545,2304
546,73
547,14315
548,3547
549,1861
550,12881
551,5264
552,3125
553,13600
554,6623
555,7253
556,3679
557,238
558,2317
559,13055
560,6237
561,10021
562,14
563,5680
564,11962
565,1619
566,11199
567,1209
568,3888
569,4605
570,997
571,7120
572,7903
573,2854
574,2428
575,352
576,6842
577,2313
578,1525
579,3595
580,940
581,5824
582,7212
583,9396
584,658
585,9784
586,1993
587,12561
588,2851
589,4279
590,1224
591,1457
592,1489
593,604
594,5707
595,297
596,3583
597,1448
598,12876
599,14564
600,13145
601,8923
602,10337
603,961
604,4719
605,636
606,12893
607,2325
608,6171
609,2451
610,13873
611,3311
612,7457
613,2437
614,74
615,7669
616,3526
617,486
618,7919
619,1441
620,5210
621,3720
622,665
623,733
624,422
625,9190
626,588
627,4003
628,1984
629,304
630,8940
631,1624
632,600
633,1447
634,249
635,8087
636,157
637,881
638,4533
639,6510
640,5082
641,3736
642,7369
643,12902
644,4869
645,5791
646,4703
647,8587
648,3151
649,6885
650,9106
651,722
652,8230
653,2490
654,4061
655,9813
656,10489
657,12518
658,10517
659,13956
660,1471
661,5499
662,3057
663,12749
664,2530
665,1328
666,1869
667,1879
668,2754
669,5256
670,1326
671,6500
672,9866
673,36
674,9607
675,7910
676,2760
677,4724
678,7759
679,13847
680,1366
681,2775
682,258
683,10189
684,1617
685,1568
686,9200
687,60
688,13982
689,1072
690,4803
691,11476
692,3601
693,644
694,2830
695,1713
696,3173
697,2004
698,2257
699,11478
700,2721
701,1876
702,992
703,2787
704,7581
705,1939
706,6052
707,9093
708,1082
709,12859
710,12060
711,2960
712,7469
713,691
714,6196
715,690
716,6460
717,2708
718,3873
719,13745
720,7430
721,13262
722,5941
723,1131
724,1486
725,1332
726,10120
727,2398
728,13368
729,3619
730,1990
731,1846
732,5709
733,7732
734,12016
735,11147
736,532
737,10084
738,11318
739,4288
740,9548
741,107
742,3437
743,5321
744,6634
745,7010
746,4340
747,1498
748,1136
749,130
750,1247
751,2630
752,5240
753,1983
754,10964
755,631
756,578
757,1509
758,7284
759,2176
760,4010
761,426
762,14144
763,12355
764,9642
765,701
