index,concepts
0,260
0,13165
0,14224
1,14628
1,3040
1,13895
2,8686
2,11920
2,11988
3,2761
3,7674
3,4571
4,14315
4,12042
4,4938
5,2578
5,3153
5,14696
6,3393
6,14811
6,7417
7,3162
7,726
7,13669
8,5341
8,2102
8,14784
9,3500
9,14569
9,5469
10,13830
10,6379
10,1592
11,14917
11,3170
11,1728
12,4641
12,8344
12,9137
13,8242
13,4915
13,8370
14,13308
14,6575
14,9725
15,9787
15,13850
15,14619
16,8423
16,5127
16,7079
17,2048
17,6139
17,14680
18,1277
18,14645
18,11110
19,8055
19,6910
19,4580
20,2157
20,5398
20,13807
21,8450
21,5652
21,212
22,14964
22,11622
22,7742
23,2596
23,1845
23,3430
24,9236
24,11357
24,3557
25,8262
25,2187
25,203
26,2188
26,6571
26,12444
27,5377
27,1022
27,108
28,14862
28,1115
28,1576
29,14179
29,9842
29,7015
30,11536
30,7409
30,10517
31,3100
31,3445
31,425
32,5292
32,11520
32,14768
33,11006
33,4310
33,14079
34,6903
34,1252
34,2178
35,5563
35,5529
35,12965
36,8401
36,1146
36,2617
37,2934
37,441
37,14666
38,14979
38,12869
38,14975
39,6712
39,6837
39,2903
40,13384
40,12069
40,6799
41,8350
41,14149
41,144
42,2479
42,11499
42,3701
43,11960
43,6936
44,10693
44,217
45,9351
45,11794
46,4160
46,389
47,4406
47,2491
48,249
48,7991
49,2138
49,11746
50,8386
50,12983
51,3788
51,146
52,7868
52,7881
53,14450
53,10203
54,5075
54,4680
55,4339
55,6819
56,3254
56,1254
57,14868
57,73
58,1291
58,5442
59,7923
59,13055
60,6237
60,9326
61,5917
61,3302
62,14564
62,14471
63,1745
63,658
64,4719
64,11547
65,740
65,2451
66,6596
66,13873
67,157
67,206
68,1328
68,147
69,9
69,2184
70,14824
70,12518
71,242
71,2004
72,11879
72,4539
73,6052
73,13573
74,9093
74,6277
75,6460
75,5513
76,900
76,14104
77,3732
77,8489
78,2530
78,6853
79,12669
79,11147
80,2754
80,5695
81,11318
81,11292
82,4288
82,154
83,9101
83,5240
84,578
84,1992
85,6491
85,426
86,14144
86,11916
87,14304
87,2274
88,8154
88,6273
89,4260
89,14336
90,3376
90,1301
91,10727
91,14577
92,14056
92,7424
93,5684
93,5583
94,1448
94,14580
95,6501
95,5886
96,10187
96,876
97,419
97,11217
98,6233
98,3164
99,2568
99,8240
100,4335
100,14342
101,2234
101,13792
102,1361
102,12587
103,6458
103,11667
104,3189
104,9476
105,11312
105,6362
106,5971
106,110
107,14676
107,9122
108,2744
108,8807
109,2656
109,4314
110,13884
110,1744
111,1040
111,6087
112,2103
112,7123
113,2821
113,4584
114,525
114,11538
115,5354
115,2799
116,4237
116,10682
117,9654
117,7216
118,3931
118,11260
119,5098
119,961
120,10926
120,11861
121,7704
121,4455
122,14885
122,11313
123,1124
123,9762
124,13271
124,9709
125,4907
125,8580
126,7545
126,3781
127,9556
127,3290
128,9867
128,4106
129,11013
129,14927
130,5230
130,12315
131,686
131,6174
132,191
132,11748
133,9997
133,10424
134,1617
134,2941
135,6431
135,1288
136,14170
136,12855
137,11819
137,2623
138,13776
138,4289
139,11370
139,1493
140,13327
140,1434
141,892
141,11210
142,1906
142,5480
143,6670
143,3284
144,6383
144,5128
145,3081
145,14473
146,9544
146,6437
147,9941
147,7071
148,14284
148,3647
149,4982
149,7000
150,8856
150,7739
151,9869
151,4120
152,4948
152,4504
153,14695
153,8340
154,657
154,3322
155,5923
155,1246
156,14855
156,4279
157,2346
157,4683
158,14747
158,2163
159,2938
159,9913
160,14555
160,4359
161,6671
161,11629
162,336
162,873
163,4168
163,3546
164,5637
164,12769
165,4544
165,7738
166,13890
166,2083
167,3709
167,5305
168,2942
168,4589
169,8486
169,7570
170,5741
170,11512
171,11373
171,11998
172,2752
172,13787
173,7833
173,14128
174,45
174,10182
175,803
175,13106
176,13651
176,3727
177,14767
177,8191
178,83
178,3492
179,13481
179,12467
180,13633
180,14852
181,5951
181,2499
182,2457
182,13668
183,5878
183,2486
184,14013
184,5284
185,14966
185,4434
186,3185
186,6042
187,10054
187,9495
188,13231
188,9597
189,347
189,14088
190,3141
190,1529
191,1889
191,1899
192,2830
192,334
193,3888
193,4901
194,4944
194,6507
195,1610
195,512
196,914
196,8268
197,12790
197,6710
198,13054
198,12880
199,12338
199,3572
200,3942
200,12003
201,12840
201,6981
202,11569
202,13514
203,9595
203,7810
204,12206
204,397
205,6404
205,628
206,11771
206,12250
207,6005
207,8378
208,3735
208,4072
209,989
209,9218
210,9347
210,6357
211,165
211,7233
212,7850
212,9116
213,6722
213,14123
214,8145
214,4340
215,2269
215,10663
216,6490
216,2190
217,5491
217,9644
218,1327
218,879
219,8956
219,13163
220,5314
220,2463
221,14039
221,2143
222,12850
222,594
223,12197
223,4076
224,12624
224,3934
225,4202
225,13224
226,3152
226,5786
227,3595
227,14893
228,2298
228,410
229,5716
229,14677
230,3754
230,4947
231,7284
231,8437
232,4366
232,325
233,3598
233,1907
234,9945
234,545
235,3712
235,7513
236,3003
236,237
237,1435
237,8579
238,8535
238,691
239,8611
239,14174
240,1984
240,4558
241,13822
241,9410
242,12386
242,11049
243,2565
243,5112
244,6653
244,991
245,9642
245,3095
246,2585
246,6414
247,12239
247,14417
248,3292
248,4652
249,13826
249,3620
250,5351
250,8227
251,11835
251,13886
252,10468
252,3774
253,14812
253,6366
254,3076
254,2294
255,1997
255,14520
256,9470
256,1751
257,10077
257,2883
258,5410
258,926
259,5269
259,5036
260,5692
260,566
261,9688
261,8247
262,8473
262,7730
263,4804
263,1668
264,9434
264,10753
265,8864
265,9130
266,4591
266,12059
267,2266
267,14639
268,23
268,13465
269,7514
269,1844
270,14500
270,4533
271,3355
271,11715
272,3330
272,1774
273,13462
273,2291
274,8886
274,14611
275,9299
275,4865
276,6643
276,2401
277,12070
277,7475
278,12427
278,5457
279,8324
279,2797
280,6245
280,13990
281,5626
281,11912
282,9792
282,506
283,5777
283,9332
284,5159
284,6368
285,10052
285,3933
286,3771
286,12127
287,832
287,2086
288,1696
288,4432
289,437
289,14225
290,2939
290,5251
291,3309
291,5526
292,14818
292,14618
293,2542
293,3859
294,11087
294,4655
295,9364
295,78
296,626
296,8194
297,7105
297,12299
298,3678
298,11930
299,6280
299,12245
300,7575
300,1096
301,6729
301,207
302,6085
302,1310
303,10759
303,3602
304,14124
304,7231
305,4241
305,7314
306,14873
306,14122
307,27
307,3259
308,11307
308,4180
309,3104
309,11853
310,14607
310,8238
311,6749
311,4320
312,10412
312,7491
313,5396
313,11642
314,13240
314,10294
315,1549
315,1750
316,10288
316,1336
317,6053
317,12368
318,12491
318,100
319,1432
319,6024
320,7155
320,9321
321,542
321,3221
322,4300
322,9570
323,11739
323,12519
324,5065
324,3334
325,3521
325,6424
326,5234
326,9118
327,12907
327,1098
328,7416
328,7442
329,10470
329,3666
330,637
330,12528
331,3992
331,540
332,5129
332,5908
333,14722
333,4534
334,9885
334,1818
335,12894
335,1619
336,7083
336,2775
337,13903
337,1306
338,5534
338,968
339,11144
339,2800
340,6093
340,8802
341,7526
341,9061
342,5933
342,5
343,2450
343,8948
344,9011
344,8487
345,12574
345,14846
346,14404
346,9042
347,12104
347,225
348,1437
348,5195
349,6645
349,2387
350,2016
350,11408
351,3270
351,8414
352,311
352,14634
353,3240
353,3918
354,7009
354,9656
355,10184
355,13186
356,1959
356,11222
357,4150
357,10823
358,6197
358,12836
359,5642
359,11548
360,4454
360,2743
361,10875
361,1964
362,2055
362,2058
363,2300
363,2389
364,8204
364,8842
365,6084
365,3258
366,11116
366,7694
367,3442
367,1562
368,7444
368,234
369,6080
369,2228
370,4090
370,4998
371,5964
371,6000
372,11185
372,5599
373,8501
373,12817
374,9200
374,1107
375,1839
375,1597
376,3159
376,4299
377,11792
377,148
378,2453
378,5707
379,11846
379,3938
380,11491
380,465
381,9728
381,8034
382,5141
382,2898
383,12157
383,7383
384,4961
384,6455
385,6296
385,10537
386,9910
386,4597
387,7816
387,6364
388,9383
388,2674
389,4528
389,12899
390,13404
390,9312
391,6461
391,11616
392,9089
392,2042
393,4123
393,14356
394,14016
394,2671
395,7024
395,6512
396,11496
396,4515
397,14398
397,7049
398,5295
398,14080
399,327
399,3645
400,3287
400,129
401,10978
401,11890
402,14549
402,5688
403,2051
403,4351
404,4490
404,10134
405,8474
405,12246
406,5619
406,120
407,3990
407,12269
408,14583
408,13486
409,2666
409,11619
410,14136
410,4053
411,11240
411,3139
412,4723
412,7507
413,7448
413,7261
414,5027
414,3650
415,6821
415,4404
416,3560
416,5996
417,13545
417,6128
418,8638
418,14841
419,5056
419,11924
420,14823
420,716
421,3169
421,14800
422,653
422,12676
423,3862
423,13872
424,7082
424,5845
425,4606
425,6857
426,2707
426,59
427,9281
427,4508
428,13958
428,518
429,1030
429,14200
430,9073
430,3469
431,6135
431,3210
432,8362
432,409
433,2767
433,6842
434,6191
434,5166
435,12861
435,456
436,3654
436,6763
437,5761
437,13468
438,7985
438,12187
439,12682
439,14296
440,1989
440,7713
441,9167
441,5839
442,4823
442,10737
443,2776
443,8417
444,685
444,5008
445,4902
445,9682
446,356
446,6782
447,3887
447,13316
448,4642
448,2399
449,1180
449,2960
450,8430
450,2560
451,13245
451,7964
452,618
452,7095
453,7870
453,1723
454,7200
454,6403
455,7303
455,8318
456,10736
456,1080
457,7263
457,10486
458,5312
458,7631
459,12019
459,9708
460,9022
460,10777
461,6252
461,9053
462,2692
462,10173
463,4522
463,766
464,7827
464,8382
465,1350
465,8108
466,14594
466,8833
467,2528
467,7074
468,13544
468,11736
469,385
469,12761
470,1454
470,7162
471,10508
471,13825
472,7075
472,763
473,496
473,9977
474,14321
474,1872
475,11511
475,14314
476,3677
476,13408
477,9974
477,7496
478,7299
478,14081
479,14601
479,12476
480,6175
480,11567
481,10867
481,1663
482,13688
482,9245
483,11243
483,3018
484,5978
484,10949
485,3723
485,3232
486,2465
486,14602
487,1212
487,2695
488,9279
488,5893
489,14367
489,9239
490,1958
490,10478
491,3511
491,2978
492,2759
492,1476
493,9504
493,10041
494,12896
